 
 
 
 
        d########P  d########b        .######b          d#######  d##P      d##P
       d########P  d###########    d###########     .##########  d##P      d##P 
      ----        ----     ----  -----     ----   -----         ----      -- P  
     d########P  d####,,,####P ####.      .#### d###P          d############P   
    d########P  d#########P   ####       .###P ####.          d############P    
   d##P        d##P           ####     d####   ####.         d##P      d##P     
  d########P  d##P            ###########P     ##########P  d##P      d##P      
 d########P  d##P              d######P          #######P  d##P      d##P       
 
 The code was compiled with no compile time options
 
 Welcome to EPOCH2D version 4.8.3   (commit v4.8.3-0-g826628c-dirty)
 
 Code is running on 1 processing elements
 
 Specify output directory
 Processor subdivision is            1           1
 
 *** WARNING ***
 Unrecognised element "E" in input deck.
 Code will continue to run, but behaviour is undefined
 
 
 *** WARNING ***
 Unrecognised element "test" in input deck.
 Code will continue to run, but behaviour is undefined
 
 Initial conditions complete and valid. Attempting to load particles
 
 Equilibrium set up OK, running code
Time  0.896288647965E-16 and iteration           0 after  0:00:00:00.00
Time  0.179257729593E-14 and iteration          10 after  0:00:00:01.49
Time  0.358515459186E-14 and iteration          20 after  0:00:00:01.87
Time  0.537773188779E-14 and iteration          30 after  0:00:00:02.19
Time  0.717030918372E-14 and iteration          40 after  0:00:00:02.52
Time  0.896288647965E-14 and iteration          50 after  0:00:00:02.85
Time  0.107554637756E-13 and iteration          60 after  0:00:00:04.26
Time  0.125480410715E-13 and iteration          70 after  0:00:00:04.62
Time  0.143406183674E-13 and iteration          80 after  0:00:00:04.94
Time  0.161331956634E-13 and iteration          90 after  0:00:00:05.23
Time  0.179257729593E-13 and iteration         100 after  0:00:00:05.53
Time  0.197183502552E-13 and iteration         110 after  0:00:00:05.83
Time  0.215109275512E-13 and iteration         120 after  0:00:00:07.28
Time  0.233035048471E-13 and iteration         130 after  0:00:00:07.67
Time  0.250960821430E-13 and iteration         140 after  0:00:00:07.99
Time  0.268886594389E-13 and iteration         150 after  0:00:00:08.32
Time  0.286812367349E-13 and iteration         160 after  0:00:00:08.65
Time  0.304738140308E-13 and iteration         170 after  0:00:00:10.05
Time  0.322663913267E-13 and iteration         180 after  0:00:00:10.45
Time  0.340589686227E-13 and iteration         190 after  0:00:00:10.81
Time  0.358515459186E-13 and iteration         200 after  0:00:00:11.11
Time  0.376441232145E-13 and iteration         210 after  0:00:00:11.41
Time  0.394367005105E-13 and iteration         220 after  0:00:00:11.70
Time  0.412292778064E-13 and iteration         230 after  0:00:00:13.23
Time  0.430218551023E-13 and iteration         240 after  0:00:00:13.62
Time  0.448144323982E-13 and iteration         250 after  0:00:00:13.95
