 
 
 
 
        d########P  d########b        .######b          d#######  d##P      d##P
       d########P  d###########    d###########     .##########  d##P      d##P 
      ----        ----     ----  -----     ----   -----         ----      -- P  
     d########P  d####,,,####P ####.      .#### d###P          d############P   
    d########P  d#########P   ####       .###P ####.          d############P    
   d##P        d##P           ####     d####   ####.         d##P      d##P     
  d########P  d##P            ###########P     ##########P  d##P      d##P      
 d########P  d##P              d######P          #######P  d##P      d##P       
 
 The code was compiled with no compile time options
 
 Welcome to EPOCH2D version 4.8.3   (commit v4.8.3-0-g826628c-dirty)
 
 Code is running on 1 processing elements
 
 Specify output directory
 Processor subdivision is            1           1
 Initial conditions complete and valid. Attempting to load particles
 
 Equilibrium set up OK, running code
Time  0.448144323982E-16 and iteration           0 after  0:00:00:00.00
Time  0.896288647965E-15 and iteration          10 after  0:00:00:08.72
Time  0.179257729593E-14 and iteration          20 after  0:00:00:11.52
Time  0.268886594389E-14 and iteration          30 after  0:00:00:14.32
Time  0.358515459186E-14 and iteration          40 after  0:00:00:17.13
Time  0.448144323982E-14 and iteration          50 after  0:00:00:19.96
Time  0.537773188779E-14 and iteration          60 after  0:00:00:23.44
Time  0.627402053575E-14 and iteration          70 after  0:00:00:26.37
Time  0.717030918372E-14 and iteration          80 after  0:00:00:29.18
Time  0.806659783168E-14 and iteration          90 after  0:00:00:31.98
Time  0.896288647965E-14 and iteration         100 after  0:00:00:34.79
Time  0.985917512761E-14 and iteration         110 after  0:00:00:37.59
Time  0.107554637756E-13 and iteration         120 after  0:00:00:46.54
Time  0.116517524235E-13 and iteration         130 after  0:00:00:49.32
Time  0.125480410715E-13 and iteration         140 after  0:00:00:52.12
Time  0.134443297195E-13 and iteration         150 after  0:00:00:54.93
Time  0.143406183674E-13 and iteration         160 after  0:00:00:57.74
Time  0.152369070154E-13 and iteration         170 after  0:00:01:00.55
Time  0.161331956634E-13 and iteration         180 after  0:00:01:03.36
Time  0.170294843113E-13 and iteration         190 after  0:00:01:06.24
Time  0.179257729593E-13 and iteration         200 after  0:00:01:09.07
Time  0.188220616073E-13 and iteration         210 after  0:00:01:11.90
Time  0.197183502552E-13 and iteration         220 after  0:00:01:14.77
Time  0.206146389032E-13 and iteration         230 after  0:00:01:23.20
Time  0.215109275512E-13 and iteration         240 after  0:00:01:26.00
Time  0.224072161991E-13 and iteration         250 after  0:00:01:28.81
Time  0.233035048471E-13 and iteration         260 after  0:00:01:31.62
Time  0.241997934951E-13 and iteration         270 after  0:00:01:34.42
Time  0.250960821430E-13 and iteration         280 after  0:00:01:37.23
