 EPOCH2D v4.8.3   v4.8.3-0-g826628c-dirty 1491501200.204               
 
Wrote normal  dump number    0 at time  0.373453603319E-16 and iteration      0
Wrote normal  dump number    1 at time  0.100085565689E-13 and iteration    134
Wrote normal  dump number    2 at time  0.200171131379E-13 and iteration    268
Wrote normal  dump number    3 at time  0.300256697068E-13 and iteration    402
Wrote normal  dump number    4 at time  0.400342262758E-13 and iteration    536
Wrote normal  dump number    5 at time  0.500427828447E-13 and iteration    670
Wrote normal  dump number    6 at time  0.600513394136E-13 and iteration    804
Wrote normal  dump number    7 at time  0.700598959826E-13 and iteration    938
Wrote normal  dump number    8 at time  0.800684525515E-13 and iteration   1072
Wrote normal  dump number    9 at time  0.900023183998E-13 and iteration   1205
Wrote normal  dump number   10 at time  0.100010874969E-12 and iteration   1339
Wrote normal  dump number   11 at time  0.110019431538E-12 and iteration   1473
Wrote normal  dump number   12 at time  0.120027988107E-12 and iteration   1607
Wrote normal  dump number   13 at time  0.130036544676E-12 and iteration   1741
Wrote normal  dump number   14 at time  0.140045101245E-12 and iteration   1875
Wrote normal  dump number   15 at time  0.150053657813E-12 and iteration   2009
Wrote normal  dump number   16 at time  0.160062214382E-12 and iteration   2143
Wrote normal  dump number   17 at time  0.170070770951E-12 and iteration   2277
Wrote normal  dump number   18 at time  0.180004636800E-12 and iteration   2410
Wrote normal  dump number   19 at time  0.190013193369E-12 and iteration   2544
Wrote normal  dump number   20 at time  0.200021749938E-12 and iteration   2678
Wrote normal  dump number   21 at time  0.210030306506E-12 and iteration   2812
Wrote normal  dump number   22 at time  0.220038863075E-12 and iteration   2946
Wrote normal  dump number   23 at time  0.230047419644E-12 and iteration   3080
Wrote normal  dump number   24 at time  0.240055976213E-12 and iteration   3214
Wrote normal  dump number   25 at time  0.250064532782E-12 and iteration   3348
Wrote normal  dump number   26 at time  0.260073089351E-12 and iteration   3482
Wrote normal  dump number   27 at time  0.270006955199E-12 and iteration   3615
Wrote normal  dump number   28 at time  0.280015511768E-12 and iteration   3749
Wrote normal  dump number   29 at time  0.290024068337E-12 and iteration   3883
Wrote normal  dump number   30 at time  0.300032624906E-12 and iteration   4017
Wrote normal  dump number   31 at time  0.310041181475E-12 and iteration   4151
Wrote normal  dump number   32 at time  0.320049738044E-12 and iteration   4285
Wrote normal  dump number   33 at time  0.330058294613E-12 and iteration   4419
Wrote normal  dump number   34 at time  0.340066851182E-12 and iteration   4553
Wrote normal  dump number   35 at time  0.350000717030E-12 and iteration   4686
Wrote normal  dump number   36 at time  0.360009273599E-12 and iteration   4820
Wrote normal  dump number   37 at time  0.370017830168E-12 and iteration   4954
Wrote normal  dump number   38 at time  0.380026386737E-12 and iteration   5088
Wrote normal  dump number   39 at time  0.390034943306E-12 and iteration   5222
Wrote normal  dump number   40 at time  0.400043499875E-12 and iteration   5356
Wrote normal  dump number   41 at time  0.410052056444E-12 and iteration   5490
Wrote normal  dump number   42 at time  0.420060613013E-12 and iteration   5624
Wrote normal  dump number   43 at time  0.430069169582E-12 and iteration   5758
Wrote normal  dump number   44 at time  0.440003035430E-12 and iteration   5891
Wrote normal  dump number   45 at time  0.450011591999E-12 and iteration   6025
Wrote normal  dump number   46 at time  0.460020148568E-12 and iteration   6159
Wrote normal  dump number   47 at time  0.470028705137E-12 and iteration   6293
Wrote normal  dump number   48 at time  0.480037261706E-12 and iteration   6427
Wrote normal  dump number   49 at time  0.490045818275E-12 and iteration   6561
Wrote normal  dump number   50 at time  0.500054374844E-12 and iteration   6695
Wrote normal  dump number   51 at time  0.510062931413E-12 and iteration   6829
Wrote normal  dump number   52 at time  0.520071487982E-12 and iteration   6963
Wrote normal  dump number   53 at time  0.530005353830E-12 and iteration   7096
Wrote normal  dump number   54 at time  0.540013910399E-12 and iteration   7230
Wrote normal  dump number   55 at time  0.550022466968E-12 and iteration   7364
Wrote normal  dump number   56 at time  0.560031023537E-12 and iteration   7498
Wrote normal  dump number   57 at time  0.570039580106E-12 and iteration   7632
Wrote normal  dump number   58 at time  0.580048136675E-12 and iteration   7766
Wrote normal  dump number   59 at time  0.590056693244E-12 and iteration   7900
Wrote normal  dump number   60 at time  0.600065249813E-12 and iteration   8034
Wrote normal  dump number   61 at time  0.610073806382E-12 and iteration   8168
Wrote normal  dump number   62 at time  0.620007672230E-12 and iteration   8301
Wrote normal  dump number   63 at time  0.630016228799E-12 and iteration   8435
Wrote normal  dump number   64 at time  0.640024785368E-12 and iteration   8569
Wrote normal  dump number   65 at time  0.650033341937E-12 and iteration   8703
Wrote normal  dump number   66 at time  0.660041898506E-12 and iteration   8837
Wrote normal  dump number   67 at time  0.670050455075E-12 and iteration   8971
Wrote normal  dump number   68 at time  0.680059011644E-12 and iteration   9105
Wrote normal  dump number   69 at time  0.690067568212E-12 and iteration   9239
Wrote normal  dump number   70 at time  0.700001434061E-12 and iteration   9372
Wrote normal  dump number   71 at time  0.710009990630E-12 and iteration   9506
Wrote normal  dump number   72 at time  0.720018547199E-12 and iteration   9640
Wrote normal  dump number   73 at time  0.730027103768E-12 and iteration   9774
Wrote normal  dump number   74 at time  0.740035660337E-12 and iteration   9908
Wrote normal  dump number   75 at time  0.750006871545E-12 and iteration  10041
