 
 
 
 
        d########P  d########b        .######b          d#######  d##P      d##P
       d########P  d###########    d###########     .##########  d##P      d##P 
      ----        ----     ----  -----     ----   -----         ----      -- P  
     d########P  d####,,,####P ####.      .#### d###P          d############P   
    d########P  d#########P   ####       .###P ####.          d############P    
   d##P        d##P           ####     d####   ####.         d##P      d##P     
  d########P  d##P            ###########P     ##########P  d##P      d##P      
 d########P  d##P              d######P          #######P  d##P      d##P       
 
 The code was compiled with no compile time options
 
 Welcome to EPOCH2D version 4.8.3   (commit v4.8.3-0-g826628c-dirty)
 
 Code is running on 1 processing elements
 
 Specify output directory
 Processor subdivision is            1           1
 Initial conditions complete and valid. Attempting to load particles
 
 Equilibrium set up OK, running code
Time  0.448144323982E-16 and iteration           0 after  0:00:00:00.00
Time  0.896288647965E-15 and iteration          10 after  0:00:00:08.07
Time  0.179257729593E-14 and iteration          20 after  0:00:00:10.59
Time  0.268886594389E-14 and iteration          30 after  0:00:00:13.12
Time  0.358515459186E-14 and iteration          40 after  0:00:00:15.64
Time  0.448144323982E-14 and iteration          50 after  0:00:00:18.17
Time  0.537773188779E-14 and iteration          60 after  0:00:00:20.69
Time  0.627402053575E-14 and iteration          70 after  0:00:00:23.22
Time  0.717030918372E-14 and iteration          80 after  0:00:00:25.74
Time  0.806659783168E-14 and iteration          90 after  0:00:00:28.31
Time  0.896288647965E-14 and iteration         100 after  0:00:00:30.90
Time  0.985917512761E-14 and iteration         110 after  0:00:00:33.43
Time  0.107554637756E-13 and iteration         120 after  0:00:00:42.77
Time  0.116517524235E-13 and iteration         130 after  0:00:00:45.30
Time  0.125480410715E-13 and iteration         140 after  0:00:00:47.82
Time  0.134443297195E-13 and iteration         150 after  0:00:00:50.34
Time  0.143406183674E-13 and iteration         160 after  0:00:00:52.87
Time  0.152369070154E-13 and iteration         170 after  0:00:00:55.40
Time  0.161331956634E-13 and iteration         180 after  0:00:00:57.99
Time  0.170294843113E-13 and iteration         190 after  0:00:01:00.58
Time  0.179257729593E-13 and iteration         200 after  0:00:01:03.17
Time  0.188220616073E-13 and iteration         210 after  0:00:01:05.69
Time  0.197183502552E-13 and iteration         220 after  0:00:01:08.22
Time  0.206146389032E-13 and iteration         230 after  0:00:01:16.30
Time  0.215109275512E-13 and iteration         240 after  0:00:01:18.83
Time  0.224072161991E-13 and iteration         250 after  0:00:01:21.35
Time  0.233035048471E-13 and iteration         260 after  0:00:01:23.87
Time  0.241997934951E-13 and iteration         270 after  0:00:01:26.40
Time  0.250960821430E-13 and iteration         280 after  0:00:01:28.92
